Year,Title,Source,Link,Output,Task,Query,Structured,Cost,Model,Learning,Start,Stop,Others
2021,ActiveAnno: General-Purpose Document-Level Annotation Tool with Active Learning Integration,ACL,https://aclanthology.org/2021.naacl-demos.12,Classification,Classification,Uncertainty,-,-,-,-,-,-,Tools
2021,Active learning and negative evidence for language identification,ACL,https://aclanthology.org/2021.dash-1.8,Classification,Others,Uncertainty,Partial,-,-,-,-,-,-
2021,Active Learning for Argument Strength Estimation,ACL,https://aclanthology.org/2021.insights-1.20,Classification,Discourse,"Uncertainty,Disagreement",-,-,-,-,-,-,AL_in_practice
2021,Active Curriculum Learning,ACL,https://aclanthology.org/2021.internlp-1.6,Sequence_labeling,NER,"Uncertainty,Others(special)",-,-,-,-,-,-,Related_direction
2021,Active Learning for Massively Parallel Translation of Constrained Text into Low Resource Languages,ACL,https://aclanthology.org/2021.mtsummit-loresmt.4,Generation,MT,Others,-,-,-,-,-,-,-
2021,Investigating Active Learning in Interactive Neural Machine Translation,ACL,https://aclanthology.org/2021.mtsummit-research.2,Generation,MT,"Performance_prediction,Uncertainty,Disagreement",-,Directly_reducing_cost,-,-,-,-,-
2021,Active Learning for Interactive Relation Extraction in a French Newspaper’s Articles,ACL,https://aclanthology.org/2021.ranlp-1.101,Complex_structured_prediction,Relation,Uncertainty,-,-,-,-,-,-,-
2021,Tuning Deep Active Learning for Semantic Role Labeling,ACL,https://aclanthology.org/2021.iwcs-1.20,Complex_structured_prediction,SRL,"Uncertainty,Disagreement",Full,-,-,-,-,-,-
2021,Active Learning for Assisted Corpus Construction: A Case Study in Knowledge Discovery from Biomedical Text,ACL,https://aclanthology.org/2021.ranlp-1.26,Complex_structured_prediction,Relation,"Uncertainty,Density,Hybrid(simple)",Full,Directly_reducing_cost,-,-,-,-,-
2021,Phrase-level Active Learning for Neural Machine Translation,ACL,https://aclanthology.org/2021.wmt-1.117,Generation,MT,"Uncertainty,Density,Discriminative",Partial,-,-,Data_augmentation,-,-,-
